ABEL EUGENIO GONÇALVES LEITÃO;14500;PTB;UNIÃO DEMOCRÁTICA DO TOCANTINS - UDT;0;
ABELARDO GOMES FERREIRA CARNEIRO;15345;PMDB;-;0;
ABRAÃO CAVALCANTE LIMA;23456;PPS;-;0;
ABRAHÃO COSTA MARTINS;15126;PMDB;-;0;
ADALGISA RODRIGUES SANTANA;25456;PFL;-;0;
ADEMAR DE SOUSA PARENTE;45120;PSDB;UNIÃO E TRABALHO;0;
ADILCIMAR AGUIAR PARENTE;25750;PFL;-;0;
ADRIANO LIMA DE MORAES;50775;PSOL;-;0;
ALAIR ANTÔNIO PIRES;23000;PPS;-;0;
ALCY BATISTA MATOS;43000;PV;UNIÃO E TRABALHO;0;
ALDAIR DA COSTA SOUSA;22225;PL;UNIÃO PELO TOCANTINS;0;
ALDAY MACHADO DE OLIVEIRA;11111;PP;UNIÃO PELO TOCANTINS;0;
ALDO MATOS RODRIGUES;40111;PSB;UNIÃO DEMOCRÁTICA DO TOCANTINS - UDT;0;
ALEXANDRE SANTIAGO FILHO;43323;PV;UNIÃO E TRABALHO;0;
ALFREDO BRANCHINA;28258;PRTB;FATO;0;
ALFREDO FARAH;11666;PP;UNIÃO PELO TOCANTINS;0;
ALIOMAR DE SOUZA GAMA;28123;PRTB;FATO;0;
ALTAMIRANDO ZEQUINHA GONÇALVES TAGUATINGA;11222;PP;UNIÃO PELO TOCANTINS;0;
ALUIZIO CHAGAS BELEM DE ALENCAR;13777;PT;MUDANÇA PRA VALER;0;
ALZIRO GOMES DE SOUZA NETO;25111;PFL;-;0;
AMÁLIA MARIA SANTANA DA SILVA;13613;PT;MUDANÇA PRA VALER;0;
AMELIO CAYRES DE ALMEIDA;22333;PL;UNIÃO PELO TOCANTINS;0;
AMILTON ALVES CARDOSO;15122;PMDB;-;0;
ANA MARIA COELHO DE SOUZA;65456;PC do B;MUDANÇA PRA VALER;0;
ANA MARIA LAGE RABELO;13100;PT;MUDANÇA PRA VALER;0;
ÂNGELA MARIA MACHADO CIRQUEIRA;44333;PRP;FRENTE ALTERNATIVA FATO NOVO;0;
ANISIANA JACOBINA AIRES SEPULVIDA DA SILVA;13113;PT;MUDANÇA PRA VALER;0;
ANTONIO AIER LOPES PEREIRA;15444;PMDB;-;0;
ANTONIO AIRES COSTA;65412;PC do B;MUDANÇA PRA VALER;0;
ANTONIO AIRES FRANÇA;25000;PFL;-;0;
ANTONIO ARAÚJO COSTA FILHO;13567;PT;MUDANÇA PRA VALER;0;
ANTONIO ARNAUD RODRIGUES;40000;PSB;UNIÃO DEMOCRÁTICA DO TOCANTINS - UDT;0;
ANTÔNIO BARREIRA GOMES;23900;PPS;-;0;
ANTÔNIO DE JESUS ARAÚJO TAVARES;56100;PRONA;FRENTE ALTERNATIVA FATO NOVO;0;
ANTONIO FRANCISCO BORBA CARDOSO;40610;PSB;UNIÃO DEMOCRÁTICA DO TOCANTINS - UDT;0;
ANTONIO JOSE OLIVEIRA CARVALHO;65111;PC do B;MUDANÇA PRA VALER;0;
ANTONIO PEREIRA SALGADO;20020;PSC;UNIÃO DEMOCRÁTICA DO TOCANTINS - UDT;0;
ANTONIO POINCARE ANDRADE FILHO;25555;PFL;-;0;
ANTONIO ROCHA MILHOMEM;40555;PSB;UNIÃO DEMOCRÁTICA DO TOCANTINS - UDT;0;
ANTONIO SÉRGIO DA SILVA;14147;PTB;UNIÃO DEMOCRÁTICA DO TOCANTINS - UDT;0;
ANTONIO WAGNER BARBOSA GENTIL;28000;PRTB;FATO;0;
ANTONIO WALTER OLIVEIRA DA LUZ;45678;PSDB;UNIÃO E TRABALHO;0;
ARLINDO ALVES MOTA;65122;PC do B;MUDANÇA PRA VALER;0;
ARLINDO NONATO DOS SANTOS;20221;PSC;UNIÃO DEMOCRÁTICA DO TOCANTINS - UDT;0;
ARUDÁ BUCAR;23111;PPS;-;0;
BALTAZAR RODRIGUES;22100;PL;UNIÃO PELO TOCANTINS;0;
BENEDITO DE JESUS SOUZA LIMA;12312;PDT;FRENTE ALTERNATIVA FATO NOVO;0;
BENEDITO LOPES DA SILVA;45625;PSDB;UNIÃO E TRABALHO;0;
BENEDITO LUIZ DAVID;20200;PSC;UNIÃO DEMOCRÁTICA DO TOCANTINS - UDT;0;
BISMARQUE ROBERTO DE SOUSA MIRANDA;13013;PT;MUDANÇA PRA VALER;0;
BRAZ DA SILVA ALENCAR;17111;PSL;FATO;0;
CACILDO VASCONCELOS;11000;PP;UNIÃO PELO TOCANTINS;0;
CAIO AUGUSTO SIQUEIRA DE ABREU RIBEIRO;45000;PSDB;UNIÃO E TRABALHO;0;
CARLOS AUGUSTO ALVES PEREIRA;17444;PSL;FATO;0;
